array_row,array_col
0,16
50,102
3,43
59,19
43,9
47,13
73,43
61,97
3,117
45,115
42,28
52,42
65,83
37,19
6,64
2,118
35,79
4,108
65,91
1,23
67,59
14,118
8,110
66,70
23,113
45,67
45,19
71,105
0,92
10,48
29,15
62,54
55,55
24,62
24,26
10,106
0,112
51,27
10,52
37,15
44,94
42,96
14,88
31,115
47,69
36,106
53,79
0,122
65,87
44,56
53,101
21,111
16,24
13,69
49,17
33,51
26,0
2,54
34,58
32,4
14,86
26,94
35,115
55,31
5,19
15,119
6,90
47,33
28,42
61,37
29,25
51,93
9,65
45,21
6,34
59,31
15,67
29,31
49,113
75,83
27,99
17,113
3,17
64,52
36,24
6,92
14,30
15,39
67,43
57,113
5,125
40,96
8,70
24,70
46,92
12,64
0,80
62,82
36,118
54,68
16,92
53,73
15,53
24,76
20,104
8,22
67,53
23,65
54,94
50,92
47,39
48,42
1,41
24,40
9,83
36,74
22,10
47,113
4,48
55,61
38,44
60,92
12,92
4,12
11,27
35,93
53,41
9,111
16,66
20,66
3,89
7,49
18,18
29,27
14,20
31,7
5,49
22,124
20,126
13,25
68,114
60,54
5,27
1,95
36,68
27,27
35,77
39,29
36,80
59,109
59,39
26,90
59,73
53,69
49,107
19,125
67,73
12,126
9,97
57,35
50,68
35,73
57,81
3,57
28,48
39,109
27,87
42,118
24,38
30,46
26,92
60,26
25,81
44,92
0,40
19,47
33,31
45,101
21,125
39,3
41,25
62,48
28,10
44,104
49,27
69,37
52,80
57,85
18,104
46,34
66,106
5,61
68,70
36,30
52,38
5,71
23,19
67,37
74,100
52,46
48,86
7,111
19,111
57,57
25,7
8,42
49,109
27,101
36,22
5,23
69,33
54,98
13,47
8,26
76,80
39,79
42,114
8,60
71,109
67,83
52,16
26,110
38,10
32,92
51,15
4,94
48,30
44,78
23,47
15,21
23,93
25,101
25,59
19,97
3,123
30,16
19,35
55,27
66,32
75,81
68,108
40,50
58,66
10,8
51,63
75,89
23,91
3,13
66,58
66,76
49,63
45,83
64,102
65,119
13,91
11,67
0,78
46,4
63,97
50,82
44,84
7,103
32,72
22,30
30,26
37,1
49,75
29,37
61,87
4,106
44,76
42,20
36,32
2,62
57,31
8,112
51,97
31,9
28,82
24,56
14,124
44,90
14,64
8,8
73,67
31,117
24,50
19,39
0,126
15,5
25,43
41,111
31,71
7,71
27,71
58,110
17,17
52,48
59,115
52,24
7,57
10,58
59,99
10,80
69,95
53,87
51,39
38,0
46,14
19,119
0,116
21,63
32,12
55,57
42,102
42,62
41,37
45,81
9,75
4,74
40,104
8,14
51,61
73,99
17,115
3,67
20,110
65,97
53,49
17,49
70,106
56,78
7,81
30,54
75,79
41,107
23,121
48,76
10,6
38,4
4,72
3,55
9,103
48,94
38,56
44,12
42,42
13,5
30,86
25,25
37,37
60,100
61,29
69,35
57,65
38,100
42,48
68,118
58,54
12,20
56,40
69,99
48,84
21,115
13,65
16,126
6,80
9,53
61,67
28,66
71,79
60,118
36,92
51,79
44,106
46,98
4,100
61,39
5,65
50,30
32,30
41,113
68,58
55,107
34,112
46,18
0,66
32,24
71,93
64,34
8,34
9,81
50,18
28,104
22,80
33,1
25,63
36,102
37,43
10,70
63,47
25,109
5,111
56,102
33,61
75,71
17,73
72,102
3,71
43,71
49,59
41,31
34,62
29,5
0,124
28,100
39,13
3,81
73,101
15,27
61,75
18,108
57,79
52,60
53,55
49,77
5,31
47,25
24,118
15,9
71,97
10,66
70,32
33,67
70,72
41,97
0,62
44,6
17,63
2,78
41,69
39,39
19,13
8,54
33,113
60,44
65,95
14,68
11,127
8,98
71,49
25,41
60,56
50,104
13,105
38,108
13,1
53,113
14,74
59,41
7,33
60,86
25,69
9,43
63,29
47,17
32,104
21,123
57,69
48,70
70,90
18,10
67,111
42,126
49,23
36,78
27,1
42,78
8,84
69,97
36,70
57,93
47,83
4,80
68,30
16,70
37,119
10,126
30,78
27,39
10,36
33,55
30,64
13,31
3,59
11,95
58,78
14,32
36,90
0,32
38,52
46,90
51,81
61,85
0,120
27,75
42,72
4,56
29,49
44,10
52,108
32,106
28,62
39,11
53,115
27,73
74,96
38,88
52,14
42,44
64,78
48,28
37,11
75,99
12,108
32,98
17,23
22,12
7,47
22,28
49,65
26,56
51,111
41,17
49,97
53,33
1,79
8,102
28,46
63,45
68,34
26,88
58,34
40,18
29,19
58,112
19,127
16,64
24,28
10,16
51,101
7,119
3,51
48,106
1,125
6,98
11,125
32,44
64,110
16,118
40,38
15,35
46,82
64,72
21,97
29,75
21,55
14,98
34,106
58,24
11,7
36,54
3,111
53,13
60,72
41,93
56,20
27,65
