"","x","y","c","z"
"1",0,16,6,5
"2",50,102,2,1
"3",3,43,1,6
"4",59,19,4,4
"5",43,9,0,3
"6",47,13,0,3
"7",73,43,4,4
"8",61,97,0,3
"9",3,117,6,5
"10",45,115,6,5
"11",42,28,2,1
"12",52,42,0,3
"13",65,83,0,3
"14",37,19,2,1
"15",6,64,1,6
"16",2,118,6,5
"17",35,79,2,1
"18",4,108,6,5
"19",65,91,0,3
"20",1,23,6,5
"21",67,59,1,6
"22",14,118,1,6
"23",8,110,6,5
"24",66,70,0,3
"25",23,113,1,6
"26",45,67,2,1
"27",45,19,0,3
"28",71,105,0,3
"29",0,92,6,5
"30",10,48,6,5
"31",29,15,2,1
"32",62,54,0,3
"33",55,55,0,3
"34",24,62,6,5
"35",24,26,2,1
"36",10,106,1,6
"37",0,112,6,5
"38",51,27,0,3
"39",10,52,6,5
"40",37,15,0,3
"41",44,94,6,5
"42",42,96,6,5
"43",14,88,1,6
"44",31,115,1,6
"45",47,69,2,1
"46",36,106,6,5
"47",53,79,0,3
"48",0,122,6,5
"49",65,87,0,3
"50",44,56,2,1
"51",53,101,2,1
"52",21,111,1,6
"53",16,24,2,1
"54",13,69,1,6
"55",49,17,0,3
"56",33,51,2,1
"57",26,0,0,3
"58",2,54,1,6
"59",34,58,2,1
"60",32,4,0,3
"61",14,86,1,6
"62",26,94,6,5
"63",35,115,6,5
"64",55,31,0,3
"65",5,19,6,5
"66",15,119,1,6
"67",6,90,1,6
"68",47,33,0,3
"69",28,42,2,1
"70",61,37,5,4
"71",29,25,2,1
"72",51,93,2,1
"73",9,65,1,6
"74",45,21,0,3
"75",6,34,6,5
"76",59,31,4,4
"77",15,67,6,5
"78",29,31,2,1
"79",49,113,6,5
"80",75,83,0,3
"81",27,99,6,5
"82",17,113,1,6
"83",3,17,6,5
"84",64,52,0,3
"85",36,24,2,1
"86",6,92,1,6
"87",14,30,6,5
"88",15,39,6,5
"89",67,43,4,4
"90",57,113,0,3
"91",5,125,6,5
"92",40,96,6,5
"93",8,70,1,6
"94",24,70,6,5
"95",46,92,2,1
"96",12,64,1,6
"97",0,80,1,6
"98",62,82,0,3
"99",36,118,6,5
"100",54,68,0,3
"101",16,92,1,6
"102",53,73,0,3
"103",15,53,6,5
"104",24,76,6,5
"105",20,104,1,6
"106",8,22,6,5
"107",67,53,4,4
"108",23,65,6,5
"109",54,94,0,3
"110",50,92,2,1
"111",47,39,2,1
"112",48,42,2,1
"113",1,41,1,6
"114",24,40,2,1
"115",9,83,1,6
"116",36,74,2,1
"117",22,10,2,1
"118",47,113,6,5
"119",4,48,1,6
"120",55,61,0,3
"121",38,44,2,1
"122",60,92,0,3
"123",12,92,1,6
"124",4,12,1,6
"125",11,27,6,5
"126",35,93,6,5
"127",53,41,0,3
"128",9,111,6,5
"129",16,66,6,5
"130",20,66,6,5
"131",3,89,1,6
"132",7,49,1,6
"133",18,18,2,1
"134",29,27,2,1
"135",14,20,2,1
"136",31,7,0,3
"137",5,49,1,6
"138",22,124,1,6
"139",20,126,1,6
"140",13,25,6,5
"141",68,114,0,3
"142",60,54,0,3
"143",5,27,6,5
