coord_x,coord_y,mclust
0,16,1
50,102,4
3,43,2
59,19,5
43,9,6
47,13,6
73,43,6
61,97,7
3,117,3
45,115,4
42,28,7
52,42,7
65,83,7
37,19,7
6,64,2
2,118,3
35,79,4
4,108,3
65,91,7
1,23,2
67,59,1
14,118,2
8,110,3
66,70,6
23,113,2
45,67,4
45,19,6
71,105,6
0,92,3
10,48,3
29,15,7
62,54,6
55,55,7
24,62,3
24,26,4
10,106,2
0,112,3
51,27,6
10,52,3
37,15,6
44,94,4
42,96,4
14,88,2
31,115,2
47,69,4
36,106,3
53,79,4
0,122,3
65,87,7
44,56,4
53,101,4
21,111,2
16,24,4
13,69,2
49,17,6
33,51,4
26,0,1
2,54,2
34,58,4
32,4,6
14,86,2
26,94,3
35,115,3
55,31,6
5,19,3
15,119,2
6,90,2
47,33,7
28,42,4
61,37,1
29,25,4
51,93,4
9,65,2
45,21,6
6,34,3
59,31,1
15,67,2
29,31,4
49,113,4
75,83,6
27,99,3
17,113,2
3,17,3
64,52,1
36,24,7
6,92,2
14,30,4
15,39,3
67,43,5
57,113,4
5,125,3
40,96,3
8,70,2
24,70,3
46,92,4
12,64,2
0,80,2
62,82,7
36,118,3
54,68,7
16,92,2
53,73,7
15,53,3
24,76,3
20,104,2
8,22,3
67,53,1
23,65,3
54,94,4
50,92,4
47,39,7
48,42,7
1,41,2
24,40,4
9,83,2
36,74,4
22,10,4
47,113,4
4,48,2
55,61,7
38,44,4
60,92,7
12,92,2
4,12,3
11,27,3
35,93,3
53,41,6
9,111,3
16,66,3
20,66,3
3,89,2
7,49,2
18,18,4
29,27,4
14,20,4
31,7,7
5,49,2
22,124,2
20,126,2
13,25,4
68,114,6
60,54,6
5,27,3
1,95,3
36,68,4
27,27,4
35,77,4
39,29,7
36,80,4
59,109,4
59,39,6
26,90,3
59,73,7
53,69,7
49,107,4
19,125,2
67,73,6
12,126,3
9,97,2
57,35,4
50,68,7
35,73,4
57,81,7
3,57,2
28,48,4
39,109,3
27,87,3
42,118,3
24,38,4
30,46,4
26,92,3
60,26,5
25,81,3
44,92,4
0,40,2
19,47,3
33,31,4
45,101,4
21,125,2
39,3,6
41,25,7
62,48,6
28,10,7
44,104,4
49,27,6
69,37,5
52,80,4
57,85,7
18,104,2
46,34,7
66,106,7
5,61,2
68,70,6
36,30,7
52,38,6
5,71,2
23,19,4
67,37,5
74,100,6
52,46,7
48,86,4
7,111,3
19,111,2
57,57,7
25,7,7
8,42,3
49,109,4
27,101,2
36,22,7
5,23,3
69,33,5
54,98,4
13,47,3
8,26,3
76,80,6
39,79,4
42,114,3
8,60,2
71,109,6
67,83,6
52,16,1
26,110,2
38,10,7
32,92,3
51,15,6
4,94,3
48,30,7
44,78,4
23,47,4
15,21,4
23,93,2
25,101,2
25,59,4
19,97,2
3,123,3
30,16,7
19,35,4
55,27,1
66,32,5
75,81,6
68,108,6
40,50,4
58,66,7
10,8,4
51,63,7
75,89,6
23,91,2
3,13,3
66,58,1
66,76,6
49,63,7
45,83,4
64,102,7
65,119,7
13,91,2
11,67,2
0,78,2
46,4,6
63,97,7
50,82,7
44,84,4
7,103,3
32,72,4
22,30,4
30,26,4
37,1,6
49,75,4
29,37,4
61,87,7
4,106,3
44,76,4
42,20,7
36,32,4
2,62,2
57,31,1
8,112,3
51,97,4
31,9,7
28,82,3
24,56,4
14,124,2
44,90,4
14,64,2
8,8,4
73,67,6
31,117,2
24,50,4
19,39,4
0,126,3
15,5,4
25,43,4
41,111,4
31,71,4
7,71,2
27,71,3
58,110,4
17,17,4
52,48,7
59,115,4
52,24,6
7,57,2
10,58,2
59,99,7
10,80,2
69,95,6
53,87,4
51,39,6
38,0,6
46,14,6
19,119,2
0,116,3
21,63,3
32,12,7
55,57,7
42,102,4
42,62,4
41,37,7
45,81,4
9,75,2
4,74,2
40,104,3
8,14,4
