coord_x,coord_y,pred
0,16,4
50,102,0
3,43,4
59,19,3
43,9,5
47,13,5
73,43,5
61,97,5
3,117,1
45,115,1
42,28,0
52,42,0
65,83,5
37,19,5
6,64,4
2,118,1
35,79,6
4,108,1
65,91,0
1,23,4
67,59,3
14,118,4
8,110,6
66,70,0
23,113,4
45,67,0
45,19,0
71,105,5
0,92,1
10,48,1
29,15,0
62,54,0
55,55,5
24,62,1
24,26,1
10,106,4
0,112,1
51,27,0
10,52,1
37,15,5
44,94,6
42,96,6
14,88,4
31,115,4
47,69,0
36,106,1
53,79,5
0,122,1
65,87,5
44,56,5
53,101,0
21,111,4
16,24,1
13,69,4
49,17,5
33,51,6
26,0,2
2,54,4
34,58,0
32,4,5
14,86,4
26,94,6
35,115,1
55,31,3
5,19,6
15,119,4
6,90,4
47,33,5
28,42,6
61,37,3
29,25,0
51,93,0
9,65,4
45,21,5
6,34,1
59,31,3
15,67,6
29,31,5
49,113,6
75,83,5
27,99,4
17,113,4
3,17,6
64,52,3
36,24,0
6,92,4
14,30,6
15,39,6
67,43,3
57,113,5
5,125,1
40,96,1
8,70,4
24,70,6
46,92,6
12,64,4
0,80,6
62,82,0
36,118,1
54,68,5
16,92,4
53,73,5
15,53,1
24,76,1
20,104,4
8,22,1
67,53,3
23,65,6
54,94,0
50,92,0
47,39,5
48,42,0
1,41,4
24,40,4
9,83,4
36,74,6
22,10,2
47,113,1
4,48,4
55,61,5
38,44,0
60,92,0
12,92,4
4,12,6
11,27,1
35,93,6
53,41,5
9,111,6
16,66,1
20,66,1
3,89,4
7,49,4
18,18,6
29,27,6
14,20,6
31,7,0
5,49,4
22,124,4
20,126,4
13,25,6
68,114,5
60,54,0
5,27,1
1,95,1
36,68,0
27,27,5
35,77,6
39,29,5
36,80,1
59,109,0
59,39,3
26,90,1
59,73,5
53,69,5
49,107,1
19,125,4
67,73,5
12,126,1
9,97,4
57,35,5
50,68,5
35,73,1
57,81,5
3,57,4
28,48,6
39,109,1
27,87,1
42,118,1
24,38,6
30,46,6
26,92,6
60,26,3
25,81,1
44,92,1
0,40,4
19,47,1
33,31,5
45,101,0
21,125,4
39,3,2
41,25,5
62,48,5
28,10,5
44,104,6
49,27,5
69,37,3
52,80,0
57,85,5
18,104,4
46,34,5
66,106,0
5,61,4
68,70,5
36,30,5
52,38,5
5,71,4
23,19,6
67,37,3
74,100,5
52,46,5
48,86,0
7,111,1
19,111,4
57,57,5
25,7,5
8,42,1
49,109,1
27,101,6
36,22,0
5,23,1
69,33,3
54,98,0
13,47,1
8,26,6
76,80,5
39,79,0
42,114,1
8,60,4
71,109,5
67,83,5
52,16,3
26,110,4
38,10,5
32,92,1
51,15,3
4,94,4
48,30,5
44,78,6
23,47,1
15,21,1
23,93,4
25,101,4
25,59,6
19,97,4
3,123,1
30,16,5
19,35,6
55,27,3
66,32,3
75,81,5
68,108,0
40,50,0
58,66,0
10,8,6
51,63,0
75,89,5
23,91,4
3,13,5
66,58,3
66,76,5
49,63,0
45,83,0
64,102,0
65,119,5
13,91,4
11,67,4
0,78,4
46,4,2
63,97,5
50,82,0
44,84,6
7,103,4
32,72,1
22,30,6
30,26,5
37,1,2
49,75,0
29,37,5
61,87,0
4,106,1
44,76,0
42,20,5
36,32,5
2,62,4
57,31,5
8,112,1
51,97,0
31,9,0
28,82,1
24,56,6
14,124,4
44,90,0
14,64,4
8,8,2
73,67,5
31,117,4
24,50,6
19,39,6
0,126,1
15,5,6
25,43,6
41,111,1
31,71,1
7,71,4
27,71,6
58,110,5
17,17,6
52,48,5
59,115,5
52,24,3
7,57,4
10,58,4
59,99,5
10,80,4
69,95,5
53,87,0
51,39,2
38,0,2
46,14,5
19,119,4
0,116,1
21,63,1
32,12,0
55,57,5
42,102,5
42,62,0
41,37,5
45,81,0
9,75,4
4,74,4
40,104,1
8,14,6
51,61,5
73,99,5
17,115,4
3,67,4
20,110,4
65,97,0
53,49,5
17,49,1
70,106,5
56,78,5
7,81,4
30,54,6
75,79,5
41,107,1
23,121,4
48,76,0
10,6,6
38,4,2
4,72,4
3,55,4
9,103,4
48,94,0
38,56,6
44,12,5
42,42,5
13,5,6
30,86,6
25,25,5
37,37,5
60,100,0
61,29,3
69,35,3
57,65,0
38,100,1
42,48,0
68,118,5
58,54,0
12,20,6
56,40,5
69,99,0
48,84,0
21,115,4
13,65,4
16,126,4
6,80,4
9,53,4
61,67,0
28,66,6
71,79,5
60,118,5
36,92,1
51,79,5
44,106,0
46,98,6
4,100,6
61,39,3
5,65,4
50,30,5
32,30,0
41,113,1
68,58,3
55,107,0
34,112,1
46,18,5
0,66,4
32,24,5
71,93,5
64,34,3
8,34,1
9,81,4
50,18,5
28,104,4
22,80,6
33,1,2
25,63,1
36,102,6
37,43,5
10,70,4
63,47,3
25,109,4
5,111,1
56,102,5
33,61,6
75,71,5
17,73,4
72,102,5
3,71,4
43,71,0
49,59,0
41,31,5
34,62,0
29,5,5
0,124,1
28,100,1
39,13,5
3,81,4
73,101,5
15,27,6
61,75,5
18,108,4
57,79,0
52,60,5
53,55,5
49,77,0
5,31,6
47,25,0
24,118,4
15,9,6
71,97,5
10,66,4
70,32,5
33,67,1
70,72,5
41,97,1
0,62,4
44,6,2
17,63,1
2,78,4
41,69,0
39,39,5
19,13,2
8,54,4
33,113,6
60,44,3
65,95,5
14,68,4
11,127,6
8,98,4
71,49,5
25,41,6
60,56,5
50,104,6
13,105,4
38,108,6
13,1,2
53,113,0
14,74,4
59,41,5
7,33,1
60,86,5
25,69,6
9,43,1
63,29,3
47,17,5
32,104,1
21,123,4
57,69,0
48,70,0
70,90,5
18,10,2
67,111,5
42,126,1
49,23,5
36,78,1
27,1,2
42,78,6
8,84,4
69,97,5
36,70,1
57,93,0
47,83,0
4,80,4
68,30,3
16,70,4
37,119,6
10,126,1
30,78,6
27,39,6
10,36,1
33,55,0
30,64,6
13,31,1
3,59,4
11,95,4
58,78,0
14,32,6
36,90,6
0,32,4
38,52,0
46,90,6
51,81,0
61,85,5
0,120,1
27,75,1
42,72,0
4,56,4
29,49,6
44,10,0
52,108,5
32,106,6
28,62,6
39,11,5
53,115,6
27,73,1
74,96,5
38,88,2
52,14,3
42,44,5
64,78,5
48,28,5
37,11,5
75,99,0
12,108,4
32,98,1
17,23,6
22,12,5
7,47,4
22,28,0
49,65,0
26,56,6
51,111,6
41,17,0
49,97,6
53,33,0
1,79,4
8,102,4
28,46,6
63,45,3
68,34,3
26,88,6
58,34,0
40,18,5
29,19,5
58,112,5
19,127,4
16,64,1
24,28,6
10,16,6
51,101,0
7,119,1
3,51,4
48,106,6
1,125,1
6,98,4
11,125,1
32,44,5
64,110,5
16,118,4
40,38,5
15,35,6
46,82,0
64,72,5
21,97,4
29,75,1
21,55,1
14,98,4
34,106,1
58,24,3
11,7,6
36,54,0
3,111,1
53,13,3
60,72,5
41,93,6
56,20,3
27,65,6
34,20,0
53,81,0
31,35,6
64,68,0
56,58,5
74,84,5
51,95,1
53,19,3
22,52,1
67,105,5
64,58,5
63,89,0
23,81,1
71,65,3
42,26,0
68,54,3
64,26,3
61,49,5
15,65,6
17,103,4
57,117,5
37,3,5
11,1,2
50,22,5
50,14,3
21,15,2
51,37,5
17,59,1
25,55,6
64,108,5
57,55,5
24,92,4
8,96,4
62,62,0
50,12,3
13,37,1
66,66,5
0,90,1
18,116,4
8,24,1
3,25,6
6,36,6
45,71,0
2,92,6
61,33,3
64,86,0
21,99,4
16,74,4
57,109,5
52,86,5
16,124,4
38,76,1
18,88,4
39,107,1
41,45,5
20,84,4
1,107,1
1,113,1
54,28,5
5,47,4
0,76,4
68,100,0
41,23,5
5,13,6
61,65,2
43,85,6
16,38,1
43,45,5
18,98,4
13,3,2
52,98,0
53,65,5
46,96,6
71,95,0
48,16,5
1,39,4
57,115,0
26,86,1
59,49,5
49,99,0
28,38,6
9,15,1
15,55,6
45,25,5
72,52,5
62,88,0
59,17,3
16,112,4
26,30,6
50,42,5
24,18,0
13,89,4
4,46,4
36,110,1
55,53,0
29,113,4
8,74,4
44,20,0
17,45,6
35,65,1
68,40,3
15,113,4
37,97,6
65,33,3
34,92,6
29,11,5
3,121,1
69,45,3
30,88,1
33,63,6
13,41,1
12,76,4
63,35,3
35,31,5
35,109,1
46,20,5
3,27,4
26,104,4
70,104,5
64,56,5
37,17,5
43,115,6
22,74,1
41,67,5
5,91,4
71,107,5
74,88,5
16,60,1
71,77,5
29,109,4
10,108,4
35,11,5
25,79,1
6,88,4
56,88,0
70,62,3
2,72,4
4,102,6
16,98,4
13,51,1
25,33,6
64,48,3
4,24,6
58,26,5
58,52,5
67,35,3
41,47,0
48,90,0
55,99,0
6,30,6
16,28,6
4,20,6
42,100,1
17,93,4
38,90,6
25,39,6
47,23,5
40,112,1
65,81,0
57,91,0
51,29,5
29,111,4
54,30,5
18,20,6
24,66,6
67,77,0
44,102,0
21,121,4
44,52,5
66,28,3
35,87,6
29,103,6
8,88,4
67,109,5
59,89,5
45,49,5
33,87,1
52,96,0
46,42,5
61,91,5
41,89,6
73,95,5
24,94,4
62,86,0
40,12,0
47,9,4
35,7,5
17,95,4
14,10,6
21,23,4
40,44,5
16,80,4
51,25,5
24,8,6
26,14,6
15,89,4
2,74,4
20,8,2
30,50,6
43,65,0
13,19,6
10,26,6
65,63,5
16,18,6
68,106,5
12,62,4
58,74,5
48,102,6
47,31,5
3,45,4
47,61,5
57,107,0
34,50,0
5,85,4
38,28,5
35,81,1
25,75,1
10,114,1
9,125,1
50,72,0
9,113,6
27,103,4
36,108,6
46,52,5
16,16,6
47,63,0
18,30,1
61,77,5
64,64,0
56,72,5
35,29,0
4,60,4
9,55,4
1,55,4
15,115,4
58,64,5
1,119,1
1,31,4
40,78,1
56,22,3
22,82,6
33,11,0
55,77,5
47,93,1
63,63,0
59,105,0
21,61,6
9,25,6
58,84,0
30,10,5
28,92,1
33,45,5
26,48,6
27,93,6
1,67,4
62,98,5
18,14,6
16,10,5
5,103,6
43,33,5
25,97,4
21,71,1
28,64,6
7,67,4
41,57,5
38,102,1
58,68,0
54,74,5
