Unnamed: 0,cell_class,neuron_class,domain,Region,ground_truth,x,y
1148x-733,Microglia,,MPA,MPA,MPA,1148.286337,-732.8182324
1150x-713,OD Mature 1,,MPA,MPA,MPA,1149.802418,-712.7057996
1154x-761,Pericytes,,MPA,MPA,MPA,1154.129787,-760.7023374
1162x-823,Pericytes,,MPA,MPA,MPA,1162.170546,-822.5099287
1174x-690,Microglia,,MPA,MPA,MPA,1173.65091,-690.0584746
1179x-817,Pericytes,,MPA,MPA,MPA,1178.582368,-817.2706556
1183x-857,Pericytes,,MPA,MPA,MPA,1183.429881,-857.357307
1187x-715,Inhibitory,I-9,MPA,MPA,MPA,1186.797203,-715.448899
1197x-860,Pericytes,,MPA,MPA,MPA,1197.086393,-859.5531533
1202x-752,Astrocyte,,MPA,MPA,MPA,1201.823201,-751.8846466
1208x-697,Endothelial 1,,MPA,MPA,MPA,1207.537977,-697.0532382
1207x-866,Endothelial 2,,MPA,MPA,MPA,1206.521114,-866.0919309
1213x-695,OD Immature 1,,MPA,MPA,MPA,1212.945162,-695.0026369
1216x-736,OD Immature 1,,MPA,MPA,MPA,1216.494114,-736.2777124
1218x-804,Pericytes,,MPA,MPA,MPA,1218.043251,-803.8831741
1228x-751,Astrocyte,,MPA,MPA,MPA,1228.019757,-750.7277457
1235x-785,Endothelial 2,,MPA,MPA,MPA,1234.63408,-784.9366183
1235x-796,Pericytes,,MPA,MPA,MPA,1234.638787,-795.9025012
1239x-752,Astrocyte,,MPA,MPA,MPA,1238.839228,-751.7435297
1243x-697,Astrocyte,,MPA,MPA,MPA,1242.578447,-697.4690363
1254x-818,Pericytes,,MPA,MPA,MPA,1253.707047,-818.4674292
1248x-711,OD Mature 2,,MPA,MPA,MPA,1247.927361,-711.032235
1251x-808,Pericytes,,MPA,MPA,MPA,1250.805731,-808.3413742
1252x-802,Pericytes,,MPA,MPA,MPA,1251.868657,-801.7325261
1255x-746,Microglia,,MPA,MPA,MPA,1254.679894,-746.4339561
1258x-855,Pericytes,,MPA,MPA,MPA,1258.257065,-855.3538677
1259x-863,Endothelial 2,,MPA,MPA,MPA,1259.359712,-863.4586081
1262x-852,Pericytes,,MPA,MPA,MPA,1262.432146,-851.9749225
1259x-764,Astrocyte,,MPA,MPA,MPA,1259.473024,-763.9486638
1267x-688,Excitatory,E-4,MPA,MPA,MPA,1266.833429,-688.0111682
1329x-728,Inhibitory,I-1,MPA,MPA,MPA,1328.638575,-728.2301337
1329x-749,Astrocyte,,MPA,MPA,MPA,1329.239267,-748.546413
1152x-851,Pericytes,,MPA,MPA,MPA,1151.905155,-850.7225595
1204x-687,Endothelial 1,,MPA,MPA,MPA,1203.505013,-687.1369949
1211x-800,Pericytes,,MPA,MPA,MPA,1210.870125,-800.3036359
1245x-843,Endothelial 2,,MPA,MPA,MPA,1245.229438,-842.5300114
1269x-855,Endothelial 2,,MPA,MPA,MPA,1268.81003,-855.0149553
1307x-715,Inhibitory,I-7,MPA,MPA,MPA,1306.570854,-714.9869983
1167x-754,OD Immature 2,,MPA,MPA,MPA,1167.4645,-753.97457
1171x-755,Endothelial 2,,MPA,MPA,MPA,1170.953042,-754.8360165
