Unnamed: 0,cell_class
-3033x2825,Endothelial 3
-3027x2956,Inhibitory
-3021x2962,Inhibitory
-3017x2996,Inhibitory
-3005x2878,Endothelial 1
-3005x2898,Endothelial 1
-3002x2965,Inhibitory
-2997x3005,Astrocyte
-2967x2894,Inhibitory
-2963x2927,Excitatory
-2955x2874,Excitatory
-2953x2982,Astrocyte
-2949x2836,OD Mature 2
-2948x2959,Inhibitory
-2943x2897,OD Immature 1
-2941x3006,Excitatory
-2932x2961,Microglia
-2922x2956,Pericytes
-2915x2823,Pericytes
-2910x2980,Astrocyte
-2907x2825,Endothelial 2
-2903x2931,Inhibitory
-2898x2823,Endothelial 2
-2898x2876,OD Mature 2
-2898x2865,Astrocyte
-2883x2959,Astrocyte
-2874x2836,Astrocyte
-2870x2948,OD Mature 2
-2868x2875,Astrocyte
-2859x2960,Endothelial 3
-2856x2828,Pericytes
-3026x2870,Inhibitory
-3012x2884,Inhibitory
-2958x3006,Inhibitory
-2956x2952,Inhibitory
-2923x2947,Pericytes
-2923x2845,Astrocyte
-2896x2907,Inhibitory
-2866x2826,Pericytes
-2867x2900,Astrocyte
-2943x2904,Astrocyte
-2891x2844,OD Mature 2
-2954x2966,Inhibitory
-2877x2944,Inhibitory
-2858x2987,Astrocyte
-2982x2840,OD Immature 1
-2938x2941,Inhibitory
-2911x2949,Pericytes
-2853x2855,OD Mature 1
-3031x3179,Excitatory
-3024x3059,Astrocyte
-3020x3074,Inhibitory
-3017x3191,Excitatory
-3017x3021,Endothelial 3
-3010x3164,OD Mature 2
-3012x3082,Inhibitory
-3005x3135,Inhibitory
-2998x3140,Inhibitory
-2996x3187,Inhibitory
-2991x3049,Inhibitory
-2992x3197,Endothelial 1
-2991x3117,Inhibitory
-2976x3056,Microglia
-2972x3164,OD Mature 2
-2961x3123,Excitatory
-2961x3052,Astrocyte
-2958x3082,Astrocyte
-2946x3188,OD Immature 1
-2932x3086,OD Immature 1
-2936x3056,Excitatory
-2906x3088,Inhibitory
-2906x3192,Inhibitory
-2906x3035,Inhibitory
-2905x3206,OD Mature 2
-2906x3156,Inhibitory
-2888x3120,OD Mature 4
-2888x3153,Endothelial 1
-2878x3103,Excitatory
-2873x3130,Inhibitory
-2875x3092,Endothelial 1
-2860x3174,Inhibitory
-2859x3189,Inhibitory
-2852x3152,OD Mature 2
-2849x3079,OD Mature 2
-3004x3046,Endothelial 1
-2993x3104,Inhibitory
-2977x3181,Excitatory
-2952x3173,Excitatory
-2943x3034,Inhibitory
-2910x3177,Inhibitory
-2878x3187,Astrocyte
-3003x3078,Inhibitory
-2976x3032,Inhibitory
-2973x3124,Microglia
-2966x3142,Excitatory
-2955x3045,Inhibitory
-2889x3136,OD Mature 1
-2965x3180,Inhibitory
-2940x3202,Excitatory
-2928x3161,Inhibitory
-2859x3129,Excitatory
-2858x3198,Inhibitory
-3030x3279,Microglia
-3031x3302,Astrocyte
-3027x3237,Excitatory
-3019x3261,Endothelial 1
-3016x3306,Endothelial 1
-3002x3359,OD Mature 2
-3001x3300,Excitatory
-2988x3238,Excitatory
-2991x3316,Excitatory
-2991x3276,Inhibitory
-2989x3379,Excitatory
-2979x3333,Excitatory
-2974x3250,Astrocyte
-2968x3391,Astrocyte
-2960x3334,Excitatory
-2950x3275,OD Mature 2
-2940x3299,Microglia
-2945x3316,Inhibitory
-2934x3372,Excitatory
-2935x3245,OD Immature 1
-2924x3321,Inhibitory
-2922x3356,Inhibitory
-2927x3336,Endothelial 1
-2912x3246,Inhibitory
-2906x3237,Inhibitory
-2910x3303,OD Mature 2
-2905x3311,Inhibitory
-2904x3395,Inhibitory
-2900x3249,Endothelial 1
-2894x3273,Inhibitory
-2892x3285,OD Mature 2
-2876x3325,Endothelial 3
-2870x3343,Astrocyte
-2869x3257,Inhibitory
-2869x3400,Endothelial 1
-2860x3232,OD Immature 1
-2861x3400,Endothelial 1
-2857x3289,Astrocyte
-2850x3273,Inhibitory
-2847x3243,Excitatory
-3031x3261,Inhibitory
-3021x3369,Astrocyte
-3008x3243,Inhibitory
-2993x3226,OD Mature 2
-2972x3298,Inhibitory
-2966x3292,Inhibitory
-2915x3259,Inhibitory
-2999x3350,Inhibitory
-2947x3264,Inhibitory
-2872x3315,Astrocyte
-2872x3396,Inhibitory
-2952x3331,Inhibitory
-2917x3277,Inhibitory
-2903x3366,Endothelial 1
-2875x3304,OD Immature 1
-3030x3427,Astrocyte
-3022x3498,Endothelial 1
-3025x3551,Inhibitory
-3014x3523,OD Mature 2
-3004x3595,Astrocyte
-3002x3587,Inhibitory
-2999x3558,Endothelial 3
-2979x3530,OD Mature 2
-2972x3453,Inhibitory
-2971x3493,Inhibitory
-2970x3555,Astrocyte
-2969x3479,Inhibitory
-2967x3574,Inhibitory
-2956x3438,Endothelial 1
-2943x3601,OD Mature 2
-2939x3513,Inhibitory
-2935x3539,Excitatory
-2936x3432,Microglia
-2936x3461,Inhibitory
-2926x3592,Excitatory
-2927x3468,OD Immature 1
-2924x3602,Endothelial 1
-2917x3550,OD Mature 2
-2917x3496,Astrocyte
-2912x3563,Inhibitory
-2912x3504,Inhibitory
-2910x3554,Inhibitory
-2898x3606,Astrocyte
-2895x3444,Inhibitory
-2891x3513,OD Immature 1
-2881x3454,OD Immature 1
-2863x3607,Inhibitory
-2864x3589,Inhibitory
-2861x3483,Astrocyte
-2855x3499,Excitatory
-2851x3488,Astrocyte
-2848x3443,Astrocyte
-2844x3543,OD Immature 1
-3024x3566,Inhibitory
-3009x3482,Astrocyte
-3007x3473,Astrocyte
-2998x3535,Excitatory
-2961x3510,Endothelial 3
-2859x3444,Astrocyte
-2985x3601,Inhibitory
-2964x3547,Inhibitory
-2945x3584,Excitatory
-2893x3497,Inhibitory
-2877x3541,Endothelial 1
-3027x3529,Inhibitory
-3017x3551,Inhibitory
-3001x3451,Inhibitory
-2954x3508,Endothelial 1
-2955x3568,Inhibitory
-2909x3472,Inhibitory
-2871x3475,Inhibitory
-3025x3774,Inhibitory
-3021x3739,Inhibitory
-3021x3747,Inhibitory
-3017x3693,OD Immature 1
-3020x3636,Inhibitory
-3017x3701,OD Immature 1
-3016x3803,Inhibitory
-3013x3652,Endothelial 1
-3004x3703,Inhibitory
-3004x3659,Inhibitory
-2998x3777,Inhibitory
-2995x3659,Inhibitory
-2994x3637,Astrocyte
-2982x3802,Endothelial 1
-2981x3707,Endothelial 3
-2975x3724,Endothelial 1
-2972x3736,Astrocyte
-2958x3784,Inhibitory
-2956x3775,Inhibitory
-2953x3680,Inhibitory
-2954x3762,Astrocyte
-2943x3693,OD Mature 2
-2941x3718,Endothelial 1
-2924x3734,Inhibitory
-2921x3632,Inhibitory
-2919x3728,Astrocyte
-2914x3801,OD Immature 1
-2910x3791,Astrocyte
-2910x3755,Excitatory
-2906x3652,Inhibitory
-2902x3633,Astrocyte
-2896x3709,Excitatory
-2894x3633,Inhibitory
-2891x3768,Astrocyte
-2886x3656,Excitatory
-2865x3647,Inhibitory
-2860x3795,Inhibitory
-2852x3621,Endothelial 2
-2848x3805,Excitatory
-2999x3681,Inhibitory
-2970x3759,Inhibitory
-2963x3789,Inhibitory
-2929x3782,Inhibitory
-2906x3745,Excitatory
-2873x3728,Excitatory
-2867x3733,Excitatory
-2987x3692,Inhibitory
-2966x3696,Excitatory
-2945x3799,Inhibitory
-2945x3738,Inhibitory
-2920x3673,Inhibitory
-2877x3641,OD Immature 1
-2851x3626,Endothelial 2
-2851x3807,Excitatory
-2981x3740,Microglia
-2889x3759,Inhibitory
-2870x3676,OD Mature 2
-2860x3622,Endothelial 1
-3017x3682,Inhibitory
-2960x3658,Inhibitory
-2947x3711,Excitatory
-2926x3766,Excitatory
-2869x3669,Inhibitory
-2865x3772,Inhibitory
-3026x3852,Astrocyte
-3020x3869,OD Immature 1
-3009x3997,Inhibitory
-3007x3897,Inhibitory
-3005x3906,OD Immature 1
-2992x3850,Inhibitory
-2991x3887,Inhibitory
-2987x3916,Astrocyte
-2986x4002,Inhibitory
-2968x3891,Inhibitory
-2966x4005,Inhibitory
-2963x3975,Astrocyte
-2957x3955,Inhibitory
-2955x3924,Inhibitory
-2946x3951,Inhibitory
-2932x3987,Inhibitory
-2923x3923,Pericytes
-2925x3851,Inhibitory
-2922x3828,Inhibitory
-2915x3923,OD Immature 1
-2917x3883,Inhibitory
-2909x3905,Inhibitory
-2907x3950,Inhibitory
-2909x3980,Inhibitory
-2905x3862,Inhibitory
-2889x3868,Excitatory
-2886x3875,Endothelial 1
-2873x3850,Inhibitory
-2869x3941,Excitatory
-2859x3860,Astrocyte
-2852x3997,Pericytes
-2849x3902,Astrocyte
-2849x3887,Inhibitory
-2980x3913,Inhibitory
-2970x3967,Astrocyte
-2950x4003,Excitatory
-2945x3890,Inhibitory
-2946x3934,Inhibitory
-2858x3930,Inhibitory
-2980x3867,Inhibitory
-2974x3953,Excitatory
-2967x3902,Excitatory
-2940x3841,OD Immature 1
-2930x3963,Excitatory
-2859x3884,Microglia
-3026x3975,Inhibitory
-3027x3984,Inhibitory
-2997x3942,Inhibitory
-2995x3833,Inhibitory
-2959x3964,Inhibitory
-2917x4006,Endothelial 1
-2876x3832,Astrocyte
-3034x4136,Endothelial 1
-3028x4032,Inhibitory
-3024x4194,Inhibitory
-3016x4071,Excitatory
-3014x4203,Inhibitory
-3015x4081,Inhibitory
-3016x4175,Inhibitory
-3001x4135,Inhibitory
-2997x4041,Excitatory
-2997x4166,Astrocyte
-3000x4063,Inhibitory
-2992x4023,Inhibitory
-2989x4125,Inhibitory
-2985x4158,Inhibitory
-2987x4115,Excitatory
-2987x4208,Astrocyte
-2981x4047,Inhibitory
-2974x4111,Inhibitory
-2974x4161,Astrocyte
-2970x4188,Astrocyte
-2967x4064,Inhibitory
-2960x4100,Astrocyte
-2957x4139,Inhibitory
-2954x4205,Inhibitory
-2950x4048,Inhibitory
-2944x4136,Inhibitory
-2947x4062,Excitatory
-2938x4163,Inhibitory
-2940x4185,Excitatory
-2937x4133,Astrocyte
-2937x4058,Inhibitory
-2932x4035,Inhibitory
-2917x4166,OD Immature 1
-2918x4102,Endothelial 1
-2914x4184,Astrocyte
-2912x4210,Inhibitory
-2903x4181,Inhibitory
-2907x4050,Inhibitory
-2900x4141,Inhibitory
-2904x4193,Astrocyte
-2899x4081,Astrocyte
-2900x4105,OD Immature 1
-2881x4065,Inhibitory
-2871x4119,Inhibitory
-2864x4028,Inhibitory
-2858x4167,Endothelial 3
-2856x4031,Astrocyte
-2857x4139,Inhibitory
-2850x4074,Astrocyte
-3015x4030,OD Mature 2
-3003x4117,Inhibitory
-2974x4168,Endothelial 1
-2955x4088,OD Immature 1
-2929x4156,Inhibitory
-2966x4131,OD Mature 2
-2875x4185,Inhibitory
-2865x4083,Inhibitory
-3008x4109,Inhibitory
-2876x4178,Inhibitory
-2864x4109,Inhibitory
-3008x4124,Inhibitory
-2919x4127,Inhibitory
-2867x4052,OD Immature 1
-2845x4192,Astrocyte
-2875x4167,Inhibitory
-3025x4335,Inhibitory
-3019x4405,Endothelial 1
-3004x4319,Inhibitory
-3001x4403,Inhibitory
-2997x4261,Excitatory
-2989x4358,Endothelial 1
-2989x4391,Excitatory
-2984x4336,Inhibitory
-2979x4244,Inhibitory
-2976x4382,Inhibitory
-2964x4330,Inhibitory
-2959x4227,Astrocyte
-2955x4257,Astrocyte
-2947x4272,Astrocyte
-2941x4275,Astrocyte
-2934x4308,Inhibitory
-2927x4268,Inhibitory
-2921x4383,Astrocyte
-2916x4248,Inhibitory
-2912x4271,Inhibitory
-2909x4223,Inhibitory
-2907x4373,Inhibitory
-2902x4341,Endothelial 3
-2892x4327,Inhibitory
-2887x4312,Inhibitory
-2886x4267,OD Immature 1
-2885x4401,Astrocyte
-2878x4308,Inhibitory
-2871x4354,Excitatory
-2864x4232,Microglia
-2860x4331,Inhibitory
-2863x4349,Excitatory
-2852x4377,Endothelial 1
-3024x4268,OD Immature 1
-3004x4288,Astrocyte
-2998x4313,OD Mature 4
-2954x4362,Inhibitory
-2950x4322,Inhibitory
-2900x4245,Inhibitory
-2859x4258,Inhibitory
-3024x4359,Inhibitory
-2997x4362,Inhibitory
-2901x4408,Inhibitory
-2892x4285,Inhibitory
-2887x4386,Microglia
-2884x4289,Astrocyte
-2859x4396,Inhibitory
-2985x4256,Inhibitory
-2969x4265,Inhibitory
-2915x4362,Astrocyte
-2895x4223,Inhibitory
-3026x4312,Inhibitory
-3000x4411,Astrocyte
-2939x4252,Inhibitory
-3031x4451,Inhibitory
-3024x4516,Inhibitory
-3022x4482,Astrocyte
-3020x4591,OD Immature 1
-3021x4562,Inhibitory
-3018x4536,Inhibitory
-3007x4577,Inhibitory
-2999x4469,Inhibitory
-2994x4592,Microglia
-2993x4485,Inhibitory
-2984x4554,Inhibitory
-2980x4523,Excitatory
-2976x4447,Inhibitory
-2968x4432,Endothelial 3
-2967x4474,Inhibitory
-2965x4532,Endothelial 1
-2962x4463,Inhibitory
-2956x4587,Astrocyte
-2953x4573,Inhibitory
-2950x4596,OD Immature 1
-2941x4428,Endothelial 1
-2937x4553,Astrocyte
-2927x4605,Excitatory
-2921x4556,Inhibitory
-2922x4492,Inhibitory
-2915x4466,OD Mature 2
-2911x4529,Inhibitory
-2904x4569,Inhibitory
-2901x4505,Endothelial 1
-2891x4587,Excitatory
-2881x4515,Astrocyte
-2871x4427,Excitatory
-2873x4522,Inhibitory
-2869x4420,OD Immature 1
-2866x4475,OD Immature 1
-2863x4446,Inhibitory
-2855x4587,Inhibitory
-2852x4567,Excitatory
-2852x4460,Endothelial 1
-2971x4501,OD Mature 2
-2970x4586,Inhibitory
-2874x4562,Inhibitory
-2864x4554,Excitatory
-2862x4434,Inhibitory
-2857x4501,Astrocyte
-3001x4485,Inhibitory
-2996x4553,Inhibitory
-2988x4569,Endothelial 1
-2983x4459,Inhibitory
-2938x4432,Endothelial 1
-2937x4532,Pericytes
-2924x4589,OD Immature 1
-2907x4511,Endothelial 1
-2899x4551,Inhibitory
-2855x4528,Inhibitory
-2954x4522,OD Immature 1
-2943x4538,Microglia
-2894x4466,Endothelial 3
-2869x4543,Inhibitory
-3005x4503,Inhibitory
-2978x4443,Inhibitory
-2961x4491,Astrocyte
-2955x4552,Inhibitory
-2943x4424,Inhibitory
-2897x4520,Excitatory
-2881x4495,Inhibitory
-2847x4596,Inhibitory
-2831x4500,Inhibitory
-2826x4463,Inhibitory
-2819x4503,Excitatory
-2817x4583,Inhibitory
-2815x4478,Excitatory
-2813x4598,Inhibitory
-2814x4565,OD Immature 1
-2812x4538,Excitatory
-2810x4495,Inhibitory
-2807x4431,Inhibitory
-2794x4444,Astrocyte
-2790x4594,Excitatory
-2790x4600,Astrocyte
-2789x4430,OD Immature 1
-2788x4524,Astrocyte
-2786x4462,Inhibitory
-2777x4441,OD Mature 2
-2770x4522,Inhibitory
-2768x4550,Inhibitory
-2759x4581,Endothelial 3
-2749x4513,Excitatory
-2746x4536,Inhibitory
-2737x4563,Excitatory
-2731x4470,Astrocyte
-2728x4436,Inhibitory
-2721x4494,Astrocyte
-2706x4537,OD Mature 2
-2700x4457,OD Mature 2
-2695x4481,Endothelial 1
-2692x4424,Inhibitory
-2670x4537,Excitatory
-2663x4464,Microglia
-2653x4545,OD Mature 2
-2779x4511,Inhibitory
-2722x4520,OD Mature 2
-2721x4442,Excitatory
-2696x4448,OD Mature 2
-2659x4538,Endothelial 3
-2652x4603,OD Mature 2
-2648x4478,OD Mature 2
-2823x4555,Astrocyte
-2811x4514,Inhibitory
-2726x4529,Inhibitory
-2696x4473,OD Mature 2
-2672x4505,Excitatory
-2660x4588,Excitatory
-2792x4548,Inhibitory
-2727x4597,OD Mature 1
-2728x4592,OD Mature 2
-2686x4444,OD Mature 2
-2674x4606,OD Mature 2
-2832x4511,Inhibitory
-2820x4427,Inhibitory
-2815x4484,Inhibitory
-2812x4454,Inhibitory
-2761x4540,Inhibitory
-2756x4563,Inhibitory
-2694x4575,OD Mature 2
-2669x4454,OD Mature 2
-2821x4368,Inhibitory
-2817x4401,Inhibitory
-2816x4338,Inhibitory
-2813x4259,Inhibitory
-2813x4225,Inhibitory
-2804x4237,Inhibitory
-2800x4389,Astrocyte
-2796x4354,Inhibitory
-2793x4310,Astrocyte
-2790x4347,Inhibitory
-2789x4243,Inhibitory
-2787x4258,Inhibitory
-2786x4226,Inhibitory
-2780x4316,Inhibitory
-2769x4386,Inhibitory
-2772x4353,Inhibitory
-2764x4250,Inhibitory
-2760x4398,Endothelial 1
-2757x4224,Inhibitory
-2754x4261,Inhibitory
-2747x4323,Inhibitory
-2748x4291,Inhibitory
-2744x4272,Inhibitory
-2743x4406,Excitatory
-2738x4302,Inhibitory
-2738x4270,Endothelial 1
-2724x4286,Inhibitory
-2724x4261,Inhibitory
-2716x4237,Inhibitory
-2713x4358,Astrocyte
-2707x4245,Excitatory
-2700x4307,Inhibitory
-2691x4279,Inhibitory
-2685x4369,Microglia
-2671x4238,Excitatory
-2657x4363,Astrocyte
