coord_x,coord_y,pred
-3033.401378,2825.155877,5
-3027.328655,2955.936449,2
-3020.512953,2961.69671,2
-3017.39749,2995.915801,2
-3005.478613,2877.528929,5
-3005.369837,2898.384629,5
-3001.59398,2965.246678,2
-2997.368589,3005.247841,0
-2967.167501,2893.509822,2
-2963.181131,2927.496482,2
-2954.604508,2873.521193,2
-2952.704249,2982.099518,0
-2948.588648,2835.768383,6
-2948.194435,2958.610211,2
-2942.627079,2897.049788,10
-2940.860859,3005.644272,3
-2931.942849,2961.365834,11
-2921.95643,2956.178779,5
-2915.35803,2822.560962,0
-2910.433757,2980.22121,0
-2907.439113,2825.46278,0
-2903.023982,2930.989681,2
-2898.297725,2822.887076,0
-2897.57708,2875.669847,6
-2897.59408,2865.04798,0
-2883.190059,2958.59815,0
-2874.011299,2836.289009,0
-2869.656103,2948.229483,6
-2868.024391,2874.880139,0
-2858.828365,2960.356747,5
-2856.201415,2827.69063,5
-3025.728593,2869.580376,2
-3011.709752,2883.921038,5
-2957.612189,3005.603102,2
-2955.783772,2951.577727,2
-2923.05209,2946.776472,5
-2923.353082,2844.720966,0
-2896.385814,2907.262859,2
-2866.094653,2825.983557,5
-2867.467494,2900.166024,0
-2942.638647,2904.359276,0
-2891.24141,2843.552431,6
-2953.925858,2965.755479,2
-2877.153651,2943.845568,6
-2857.851113,2986.599484,0
-2981.622557,2839.584483,10
-2937.548946,2940.608981,2
-2911.07609,2949.348447,5
-2853.006718,2855.166397,6
-3030.855058,3179.208497,2
-3023.807366,3059.186242,0
-3019.991104,3073.955921,2
-3016.675176,3191.422789,3
-3016.56107,3020.754709,5
-3010.277574,3164.341178,6
-3011.896696,3082.458122,2
-3004.611572,3135.387739,2
-2998.349842,3139.677925,2
-2996.077776,3187.120454,2
-2990.611663,3049.466895,2
-2992.005727,3197.472061,5
-2991.372021,3117.398303,2
-2976.384428,3055.728948,11
-2971.954101,3163.589689,6
-2960.675485,3122.951742,3
-2961.157655,3051.754983,0
-2958.467377,3081.736708,0
-2945.819221,3188.256626,10
-2932.27725,3086.345908,10
-2936.222958,3055.571338,3
-2905.789137,3087.970708,2
-2905.870777,3191.61596,2
-2906.320331,3035.074224,2
-2904.677092,3206.256229,6
-2905.786205,3156.425549,2
-2887.791265,3119.59291,6
-2888.195678,3153.066564,5
-2878.497048,3102.853956,3
-2872.775855,3130.483244,11
-2874.554691,3092.346368,5
-2859.661031,3173.877562,2
-2858.720066,3188.642125,2
-2851.791437,3152.037516,6
-2849.074748,3079.129589,6
-3004.256079,3046.051385,5
-2992.590515,3104.072774,2
-2977.201559,3180.866518,3
-2952.232961,3172.620386,3
-2942.952873,3034.110698,2
-2910.166484,3177.077042,3
-2878.201002,3187.125335,0
-3003.065798,3078.016551,2
-2976.399701,3031.887168,2
-2973.040143,3123.550217,11
-2965.7011,3141.598687,3
-2955.482948,3044.758687,2
-2888.740698,3136.041864,6
-2965.012382,3180.180591,3
-2940.378288,3201.794391,3
-2927.817053,3161.192726,3
-2858.526133,3129.484842,2
-2858.313664,3197.907968,2
-3029.629998,3278.57894,0
-3030.555515,3301.588462,0
-3027.34831,3237.455221,3
-3019.434513,3260.697422,5
-3016.414033,3306.180062,5
-3001.803085,3359.197613,6
-3000.888789,3299.561234,3
-2988.069227,3237.589184,3
-2990.558942,3315.615024,3
-2990.728397,3276.069463,2
-2989.124366,3378.62298,3
-2978.962421,3333.223733,3
-2974.133668,3250.291371,0
-2967.762604,3390.914725,0
-2960.285218,3333.860364,3
-2950.421434,3275.093089,6
-2939.575179,3299.068068,11
-2944.724184,3316.485959,2
-2933.868497,3371.899957,2
-2934.942897,3244.621051,10
-2923.887749,3320.556232,2
-2921.713718,3355.828041,2
-2927.199416,3335.552724,5
-2911.592857,3246.474407,2
-2906.329128,3236.931351,2
-2909.636307,3303.010553,6
-2905.293216,3310.835367,6
-2903.975022,3395.467639,2
-2899.545698,3249.497751,5
-2894.457204,3272.832326,2
-2891.839974,3284.828044,6
-2876.356967,3324.968411,0
-2870.246151,3343.472935,0
-2868.557788,3256.816329,2
-2868.802795,3400.047664,5
-2859.966448,3231.820202,10
-2860.682058,3400.098317,5
-2857.382141,3289.016683,0
-2849.515024,3273.465271,2
-2846.723828,3242.719513,3
-3031.313008,3261.160648,2
-3021.077099,3368.575012,0
-3007.713612,3243.39608,2
-2993.495947,3226.153905,6
-2971.981767,3297.638044,2
-2965.66967,3292.330916,2
-2914.903564,3258.723116,2
-2998.9505,3350.228772,11
-2946.59941,3264.043714,2
-2872.203745,3314.643496,0
-2871.581247,3395.560508,5
-2951.926098,3330.523459,2
-2917.391633,3277.119729,2
-2903.488636,3365.516315,5
-2875.341558,3304.040125,10
-3029.764386,3426.783967,0
-3021.888972,3497.605352,5
-3025.280058,3550.785908,1
-3013.524167,3522.723196,6
-3003.775992,3594.652261,3
-3002.107398,3587.260236,2
-2998.757643,3558.347645,5
-2979.043681,3529.882938,6
-2971.836425,3453.417328,2
-2971.365765,3492.712399,2
-2970.089714,3555.107842,0
-2969.405432,3478.899773,2
-2966.73883,3573.57959,2
-2956.284887,3437.937878,5
-2942.557256,3600.703083,6
-2938.950004,3512.590712,2
-2935.265535,3538.639063,2
-2935.816291,3432.160161,11
-2935.961497,3460.577893,9
-2926.261002,3591.635334,5
-2926.774248,3468.158655,10
-2924.360229,3601.857167,5
-2916.580302,3549.700718,6
-2916.618092,3496.365278,0
-2912.495622,3563.406106,2
-2911.840434,3504.088303,0
-2909.967295,3554.155176,6
-2897.526055,3605.658487,0
-2895.100013,3443.780905,2
-2891.371075,3513.218422,10
-2880.573975,3453.91202,10
-2863.365352,3606.889879,2
-2863.897887,3589.107725,4
-2860.581062,3482.862896,0
-2855.042965,3499.476179,2
-2850.612966,3488.081234,0
-2847.810296,3443.206007,0
-2844.155507,3543.188531,10
-3023.704331,3565.913928,9
-3009.436912,3481.503748,0
-3006.523473,3472.608425,0
-2997.707571,3535.112199,3
-2961.155878,3510.215791,5
-2859.212214,3443.744199,0
-2984.872922,3600.617098,2
-2963.639967,3547.11899,2
-2945.028144,3583.992876,3
-2892.860948,3496.752077,4
-2876.608215,3541.333293,5
-3026.900885,3529.220886,2
-3017.111149,3551.013574,1
-3000.743007,3451.37874,2
-2954.16089,3507.624408,5
-2955.467372,3567.644607,9
-2909.22667,3472.228197,2
-2871.338739,3475.172851,0
-3024.794532,3774.119827,2
-3020.848977,3738.880899,2
