"","x","y","c","z"
"1",1313.511887,2162.459959,10,4
"2",1321.787911,2288.708578,0,4
"3",1333.694106,2116.464893,0,4
"4",1339.956433,2200.067589,0,4
"5",1340.563484,2251.463695,8,4
"6",1343.405047,2208.092067,8,4
"7",1344.99383,2176.547045,8,4
"8",1352.892055,2118.812648,3,4
"9",1351.824798,2217.788537,8,4
"10",1355.924703,2124.583619,5,4
"11",1360.012164,2220.05056,3,4
"12",1362.259078,2237.717412,0,4
"13",1364.61037,2289.791365,0,4
"14",1365.226986,2274.42685,3,4
"15",1371.880381,2130.549639,3,4
"16",1373.256999,2215.899767,3,4
"17",1378.725252,2250.371336,10,4
"18",1382.816146,2223.720805,8,4
"19",1385.29024,2137.57621,3,4
"20",1399.83812,2231.6481,3,4
"21",1407.365958,2145.548961,0,4
"22",1418.215447,2148.232338,0,4
"23",1418.827324,2240.684957,11,4
"24",1440.790206,2238.718713,11,4
"25",1441.441026,2192.388149,0,4
"26",1459.848152,2274.36341,3,4
"27",1489.444413,2274.084242,3,4
"28",1392.229234,2192.358007,3,4
"29",1403.037383,2261.616823,3,4
"30",1472.724931,2163.074195,0,4
"31",1475.396954,2238.324965,5,4
"32",1483.514898,2296.316947,3,4
"33",1314.113873,2145.316686,2,4
"34",1323.813852,2260.164264,3,4
"35",1323.999034,2190.797592,0,4
"36",1324.931855,2184.322659,0,4
"37",1403.490996,2205.665778,2,4
"38",1441.264708,2220.045807,11,4
"39",1483.443283,2234.132836,5,4
"40",1340.340613,2114.367569,0,4
"41",1395.816159,2282.443659,0,4
"42",1398.187304,2142.483169,3,4
"43",1319.387537,2155.960684,0,4
"44",1324.865309,2138.207089,0,4
"45",1359.017079,2127.75029,3,4
"46",1427.193467,2161.925709,0,4
"47",1484.412933,2175.139891,3,4
"48",1490.929221,2183.44498,0,4
"49",1496.971312,2285.519452,2,4
"50",1315.145685,2345.629669,3,4
"51",1329.263738,2444.387748,1,7
"52",1332.677933,2422.810927,8,7
"53",1341.645074,2428.269872,3,7
"54",1354.622828,2314.716955,3,4
"55",1358.661497,2452.151796,1,7
"56",1360.439123,2469.857921,0,7
"57",1369.784993,2480.665545,8,7
"58",1381.102247,2431.678995,0,7
"59",1386.044826,2489.910822,8,7
"60",1391.244556,2359.819904,0,4
"61",1388.767093,2430.513725,8,7
"62",1397.557356,2460.805088,3,7
"63",1405.093262,2397.488602,8,4
"64",1405.70575,2449.530626,13,7
"65",1406.820064,2326.694964,3,4
"66",1407.74403,2479.543015,0,7
"67",1418.065699,2405.117721,3,7
"68",1415.954887,2487.864184,8,7
"69",1422.640592,2452.709508,11,7
"70",1421.662476,2495.490354,3,7
"71",1432.661553,2327.834766,3,4
"72",1432.342496,2414.231853,0,7
"73",1439.921663,2353.428562,2,4
"74",1441.37762,2426.518923,5,7
"75",1447.519194,2404.01688,10,7
"76",1447.646989,2415.501996,3,7
"77",1456.485277,2432.204168,3,7
"78",1459.064805,2422.026645,2,7
"79",1462.485013,2361.358082,3,7
"80",1463.447476,2334.000009,0,4
"81",1467.769743,2377.316637,3,7
"82",1475.160842,2401.871418,1,7
"83",1477.252882,2458.822711,3,7
"84",1476.91592,2320.784273,3,4
"85",1486.46104,2450.860934,0,7
"86",1497.354382,2425.355223,11,7
"87",1336.611436,2398.898614,3,4
"88",1341.546105,2335.868759,3,4
"89",1343.411632,2376.214044,3,4
"90",1381.117483,2387.251652,0,4
"91",1434.955951,2361.370016,8,4
"92",1436.112541,2481.497347,1,7
"93",1488.791114,2334.485324,3,4
"94",1317.939735,2418.786849,0,7
"95",1323.754675,2352.718595,3,4
"96",1327.577925,2368.768976,0,4
"97",1360.320894,2391.951535,3,4
"98",1358.733426,2432.136227,3,7
"99",1365.448908,2331.609999,11,4
"100",1420.501224,2325.772198,0,4
"101",1439.149495,2406.940393,10,7
"102",1455.006749,2458.939274,3,7
"103",1384.74883,2407.618635,11,4
"104",1439.044075,2490.916909,0,7
"105",1486.803933,2437.289515,3,7
"106",1358.052356,2367.886311,3,4
"107",1402.401095,2378.246224,3,4
"108",1410.898633,2423.831422,3,7
"109",1444.150325,2385.392186,1,7
"110",1483.396101,2479.481377,3,7
"111",1488.620914,2378.962262,3,7
"112",1321.563111,2620.113217,11,4
"113",1322.385617,2648.806847,3,4
"114",1334.4607,2634.498726,0,7
"115",1337.362287,2572.848905,3,7
"116",1341.384494,2630.742993,0,7
"117",1340.156209,2663.348998,0,4
"118",1345.011864,2606.799334,8,7
"119",1355.02271,2663.331259,3,4
"120",1354.249164,2579.498409,1,7
"121",1363.06397,2690.477182,3,4
"122",1363.307106,2619.828987,0,7
"123",1367.623722,2543.903818,8,7
"124",1369.420626,2558.382857,3,7
"125",1375.724117,2544.260826,8,7
"126",1382.522259,2694.848531,8,4
"127",1391.491675,2677.800417,3,4
"128",1397.335708,2534.034394,10,7
"129",1398.344267,2689.743353,3,4
"130",1403.666794,2610.385327,1,7
"131",1417.906047,2547.819761,3,7
"132",1419.903883,2674.250739,3,7
"133",1425.692159,2648.309335,3,7
"134",1424.839027,2585.097484,3,7
"135",1433.605446,2568.483126,2,7
"136",1438.147722,2618.156366,4,7
"137",1440.809461,2680.203122,1,7
"138",1445.630089,2563.538985,0,7
"139",1447.143245,2657.306579,3,7
"140",1459.872392,2646.392145,3,7
"141",1467.452004,2693.284277,3,7
"142",1467.900253,2550.463816,8,7
"143",1469.283796,2670.866045,3,7
"144",1476.140721,2661.193204,3,7
"145",1479.7882,2568.069119,8,7
"146",1483.56566,2599.504899,2,7
"147",1492.079694,2551.722978,3,7
"148",1494.461,2678.646715,3,7
"149",1403.840043,2599.158586,3,7
"150",1424.665957,2638.522519,3,7
"151",1430.280694,2540.1184,3,7
"152",1449.490026,2674.324718,11,7
"153",1456.993566,2583.006442,3,7
"154",1312.625274,2693.460543,3,4
"155",1361.165489,2580.99888,0,7
"156",1459.147455,2691.542584,0,7
"157",1322.37608,2535.004901,1,7
"158",1372.244941,2608.829472,3,7
"159",1457.136684,2519.25211,0,7
"160",1490.458958,2589.512331,3,7
"161",1336.536304,2549.511286,3,7
"162",1368.855871,2584.564486,3,7
"163",1369.861484,2518.16266,1,7
"164",1373.699482,2537.805366,0,7
"165",1375.225281,2632.892392,3,7
"166",1453.379548,2632.154601,3,7
"167",1334.697799,2529.820474,3,7
"168",1318.748267,2807.927136,11,4
"169",1328.332607,2857.301558,1,7
"170",1331.447953,2747.206775,11,4
"171",1331.2443,2876.339994,13,0
"172",1333.259473,2890.115495,11,0
"173",1334.238888,2899.301906,11,0
"174",1338.836826,2771.257827,3,4
"175",1344.680377,2831.747603,3,4
"176",1350.506071,2887.543823,8,0
"177",1357.629701,2830.03454,8,4
"178",1359.013265,2820.084002,8,4
"179",1356.321585,2761.011433,0,4
"180",1360.787371,2769.895707,0,4
"181",1357.533137,2787.248195,13,6
"182",1358.522853,2719.055648,10,4
"183",1362.757637,2729.164773,3,4
"184",1367.543171,2802.602264,11,4
"185",1372.494744,2792.070227,2,4
"186",1371.663882,2885.998894,0,0
"187",1387.315547,2831.954794,3,4
"188",1404.033995,2761.14151,3,4
"189",1403.243473,2800.051968,0,4
"190",1417.037055,2897.373072,1,6
"191",1420.463407,2809.139533,3,4
"192",1424.224573,2830.442094,3,4
"193",1425.994065,2857.213992,8,6
"194",1428.511299,2740.271444,11,4
"195",1431.863938,2774.779856,3,4
"196",1448.730913,2768.46235,3,4
"197",1446.603528,2805.253325,3,4
"198",1458.60786,2861.518099,13,6
"199",1459.174956,2896.520782,11,0
"200",1469.644481,2892.788358,13,6
"201",1472.803934,2737.03655,4,7
"202",1472.58018,2778.371838,3,4
"203",1471.44321,2717.098697,3,7
"204",1481.765677,2850.874026,11,0
"205",1484.902354,2830.310032,0,6
"206",1486.367352,2881.841361,0,6
"207",1491.80565,2893.572028,3,6
"208",1495.713288,2726.782784,13,6
"209",1495.585156,2819.068925,13,6
"210",1318.736116,2750.569394,4,4
"211",1338.97325,2813.50932,0,4
"212",1378.884443,2869.589992,0,0
"213",1408.45768,2812.135487,0,4
"214",1430.914096,2878.05312,13,6
"215",1452.160175,2839.987833,3,4
"216",1473.814569,2873.215721,0,6
"217",1311.022271,2827.800252,3,4
"218",1331.620831,2712.710353,11,4
"219",1340.915519,2716.375715,11,4
"220",1386.356816,2824.979062,3,4
"221",1392.610706,2884.298989,11,0
"222",1476.856783,2805.23105,3,4
"223",1460.524432,2744.370169,3,7
"224",1380.24664,2808.621965,4,4
"225",1387.258942,2725.425999,3,4
"226",1405.804145,2719.779378,3,4
"227",1430.819618,2732.910254,4,4
"228",1434.354447,2894.714768,11,0
"229",1439.90682,2862.248902,1,6
"230",1445.90814,2781.21947,3,4
"231",1318.070597,3009.648562,3,6
