x_array,y_array,mclust
1313.511887,2162.459959,11
1321.787911,2288.708578,11
1333.6941060000001,2116.464893,11
1339.956433,2200.067589,11
1340.563484,2251.463695,11
1343.405047,2208.092067,11
1344.9938300000001,2176.547045,11
1352.892055,2118.812648,11
1351.824798,2217.788537,11
1355.924703,2124.583619,11
1360.012164,2220.05056,11
1362.259078,2237.717412,11
1364.6103699999999,2289.791365,11
1365.226986,2274.42685,11
1371.880381,2130.549639,11
1373.256999,2215.8997670000003,11
1378.725252,2250.371336,11
1382.8161460000001,2223.720805,11
1385.29024,2137.57621,11
1399.83812,2231.6481,11
1407.365958,2145.548961,11
1418.215447,2148.232338,11
1418.827324,2240.684957,11
1440.7902060000001,2238.7187129999998,11
1441.441026,2192.388149,11
1459.848152,2274.36341,11
1489.4444130000002,2274.0842420000004,1
1392.229234,2192.358007,11
1403.037383,2261.616823,11
1472.724931,2163.074195,11
1475.3969539999998,2238.324965,11
1483.5148980000001,2296.316947,11
1314.113873,2145.316686,11
1323.813852,2260.164264,11
1323.999034,2190.7975920000003,11
1324.931855,2184.322659,11
1403.490996,2205.665778,11
1441.264708,2220.045807,11
1483.443283,2234.1328359999998,11
1340.340613,2114.367569,11
1395.816159,2282.443659,11
1398.1873039999998,2142.483169,11
1319.3875369999998,2155.960684,11
1324.865309,2138.207089,11
1359.017079,2127.75029,11
1427.193467,2161.925709,11
1484.412933,2175.139891,11
1490.929221,2183.44498,11
1496.971312,2285.519452,11
1315.145685,2345.629669,9
1329.263738,2444.387748,9
1332.677933,2422.810927,9
1341.645074,2428.269872,9
1354.622828,2314.716955,9
1358.661497,2452.151796,9
1360.439123,2469.8579210000003,9
1369.784993,2480.665545,9
1381.102247,2431.6789949999998,9
1386.044826,2489.910822,9
1391.244556,2359.819904,9
1388.767093,2430.513725,9
1397.557356,2460.805088,9
1405.0932619999999,2397.488602,9
1405.70575,2449.530626,9
1406.820064,2326.6949640000003,9
1407.74403,2479.5430149999997,9
1418.065699,2405.117721,9
1415.9548869999999,2487.864184,9
1422.640592,2452.709508,6
1421.662476,2495.490354,9
1432.661553,2327.834766,9
1432.342496,2414.2318530000002,9
1439.921663,2353.428562,9
1441.37762,2426.518923,9
1447.519194,2404.01688,9
1447.646989,2415.501996,9
1456.485277,2432.2041679999998,9
1459.064805,2422.026645,9
1462.485013,2361.358082,9
1463.447476,2334.000009,9
1467.769743,2377.316637,4
1475.160842,2401.871418,4
1477.252882,2458.822711,9
1476.91592,2320.784273,4
1486.4610400000001,2450.860934,9
1497.354382,2425.355223,6
1336.611436,2398.898614,9
1341.5461050000001,2335.868759,9
1343.411632,2376.2140440000003,9
1381.117483,2387.251652,9
1434.955951,2361.370016,9
1436.112541,2481.497347,9
1488.791114,2334.4853239999998,4
1317.939735,2418.7868489999996,9
1323.754675,2352.718595,4
1327.577925,2368.7689760000003,9
1360.320894,2391.951535,9
1358.733426,2432.136227,9
1365.448908,2331.609999,6
1420.501224,2325.772198,11
1439.149495,2406.940393,9
1455.0067490000001,2458.939274,4
1384.74883,2407.6186350000003,9
1439.044075,2490.916909,9
1486.803933,2437.289515,9
1358.0523560000001,2367.8863109999998,9
1402.401095,2378.246224,9
1410.898633,2423.8314219999997,9
1444.150325,2385.392186,9
1483.396101,2479.481377,9
1488.620914,2378.962262,4
1321.563111,2620.113217,9
1322.385617,2648.806847,9
1334.4607,2634.4987260000003,9
1337.362287,2572.8489050000003,4
1341.384494,2630.742993,9
1340.156209,2663.348998,9
1345.011864,2606.799334,9
1355.02271,2663.331259,4
1354.249164,2579.498409,9
1363.06397,2690.477182,9
1363.307106,2619.8289870000003,9
1367.623722,2543.903818,9
1369.420626,2558.382857,9
1375.724117,2544.260826,9
1382.522259,2694.8485309999996,9
1391.491675,2677.8004170000004,9
1397.335708,2534.0343940000002,9
