"","coord_x","coord_y","labels"
"1",1148.286337,-732.8182324,5
"2",1149.802418,-712.7057996,2
"3",1154.129787,-760.7023374,5
"4",1162.170546,-822.5099287,12
"5",1173.65091,-690.0584746,5
"6",1178.582368,-817.2706556,12
"7",1183.429881,-857.357307,12
"8",1186.797203,-715.448899,5
"9",1197.086393,-859.5531533,12
"10",1201.823201,-751.8846466,4
"11",1207.537977,-697.0532382,11
"12",1206.521114,-866.0919309,12
"13",1212.945162,-695.0026369,18
"14",1216.494114,-736.2777124,18
"15",1218.043251,-803.8831741,12
"16",1228.019757,-750.7277457,4
"17",1234.63408,-784.9366183,12
"18",1234.638787,-795.9025012,12
"19",1238.839228,-751.7435297,4
"20",1242.578447,-697.4690363,4
"21",1253.707047,-818.4674292,12
"22",1247.927361,-711.032235,2
"23",1250.805731,-808.3413742,12
"24",1251.868657,-801.7325261,12
"25",1254.679894,-746.4339561,4
"26",1258.257065,-855.3538677,12
"27",1259.359712,-863.4586081,12
"28",1262.432146,-851.9749225,12
"29",1259.473024,-763.9486638,4
"30",1266.833429,-688.0111682,1
"31",1328.638575,-728.2301337,3
"32",1329.239267,-748.546413,4
"33",1151.905155,-850.7225595,12
"34",1203.505013,-687.1369949,11
"35",1210.870125,-800.3036359,12
"36",1245.229438,-842.5300114,1
"37",1268.81003,-855.0149553,12
"38",1306.570854,-714.9869983,3
"39",1167.4645,-753.97457,5
"40",1170.953042,-754.8360165,5
"41",1153.875145,-719.0216761,18
"42",1286.735055,-772.5597867,4
"43",1299.556096,-774.6348737,4
"44",1164.490173,-858.0837805,12
"45",1171.140784,-841.0001523,11
"46",1168.798769,-861.4118234,12
"47",1185.200217,-829.4589009,12
"48",1240.218572,-791.8116556,12
"49",1244.241221,-812.7663075,12
"50",1255.999916,-804.5680209,12
"51",1270.651613,-765.6887284,4
"52",1274.389532,-732.7015027,4
"53",1279.103347,-766.9740391,4
"54",1294.056957,-735.3500109,11
"55",1297.984589,-720.1459633,2
"56",1172.694351,-822.1262738,12
"57",1165.785054,-591.1464822,5
"58",1168.042534,-514.7108429,4
"59",1173.272894,-494.7978612,5
"60",1177.341151,-589.3007748,3
"61",1179.825671,-636.467565,5
"62",1196.675523,-492.0974252,4
"63",1203.053869,-634.551058,4
"64",1204.114281,-650.9725495,4
"65",1206.316123,-535.9241299,2
"66",1209.880219,-577.1044209,2
"67",1209.968746,-521.0464223,1
"68",1211.827146,-500.1786448,3
"69",1220.399974,-556.4589688,3
"70",1219.268683,-508.6104514,4
"71",1221.216545,-483.3151302,3
"72",1228.959111,-593.6839824,1
"73",1234.398229,-605.2054659,2
"74",1235.643536,-512.4964835,3
"75",1244.853002,-630.3899239,1
"76",1245.299833,-520.671395,3
"77",1249.483261,-485.7287009,3
"78",1250.608851,-576.2040599,1
"79",1258.256466,-586.2841856,1
"80",1260.566566,-663.145103,1
"81",1268.735817,-500.0611335,1
"82",1279.755749,-545.6606426,4
"83",1279.734293,-536.1009774,4
"84",1282.52218,-588.636359,1
"85",1284.324636,-521.7933071,11
"86",1287.612593,-611.1844071,5
"87",1287.017018,-572.2497554,11
"88",1294.829705,-660.3711271,1
"89",1296.456746,-532.6569772,1
"90",1300.790933,-489.397798,8
"91",1308.84183,-578.8419471,8
"92",1307.9898,-526.0352576,3
"93",1312.129105,-626.3661914,5
"94",1311.449689,-537.3753542,1
"95",1313.462248,-662.5587707,1
"96",1313.94685,-558.8214227,2
"97",1322.374985,-514.2932976,1
"98",1332.033128,-608.9336255,1
"99",1335.279705,-568.8193114,1
"100",1164.042882,-619.6946367,5
"101",1166.360306,-553.8879066,3
"102",1210.79161,-643.7136061,11
"103",1227.800327,-605.1333795,3
"104",1273.630675,-613.9655518,5
