,Total_counts,X,Y,label,region,Region,ground_truth,x,y
Cell_9,310,4980.7776640043685,-49.771247184108134,L6,L6,L6,L6,4980.7776640043685,-49.771247184108134
Cell_10,533,8729.177424962336,-53.473113918182875,L4,L4,L4,L4,8729.177424962336,-53.473113918182875
Cell_13,452,11547.566359203338,-46.31549262675519,L2/3,L2/3,L2/3,L2/3,11547.566359203338,-46.31549262675519
Cell_15,288,3280.980263748094,-37.612810621691935,L6,L6,L6,L6,3280.980263748094,-37.612810621691935
Cell_16,457,7582.7936012936025,-45.350311850311854,L4,L4,L4,L4,7582.7936012936025,-45.350311850311854
Cell_17,472,4691.683640913357,-50.13700344072568,L6,L6,L6,L6,4691.683640913357,-50.13700344072568
Cell_20,413,12817.143809250214,-48.9578282102844,L1,L1,L1,L1,12817.143809250214,-48.9578282102844
Cell_21,535,3426.1749157353197,-91.88149725031045,L6,L6,L6,L6,3426.1749157353197,-91.88149725031045
Cell_22,750,5157.435323646905,-84.1451196662778,L6,L6,L6,L6,5157.435323646905,-84.1451196662778
Cell_23,304,1480.0390641541394,-61.31039593478721,CC,CC,CC,CC,1480.0390641541394,-61.31039593478721
Cell_24,462,9461.603944409204,-55.56052130788304,L2/3,L2/3,L2/3,L2/3,9461.603944409204,-55.56052130788304
Cell_25,429,12633.158039509875,-58.75377177627741,L1,L1,L1,L1,12633.158039509875,-58.75377177627741
Cell_26,290,10688.079207301826,-73.60596399099775,L2/3,L2/3,L2/3,L2/3,10688.079207301826,-73.60596399099775
Cell_27,810,12065.723040430503,-73.38752389718898,L2/3,L2/3,L2/3,L2/3,12065.723040430503,-73.38752389718898
Cell_28,470,13121.71030541168,-81.66815502768351,L1,L1,L1,L1,13121.71030541168,-81.66815502768351
Cell_29,447,4216.013943165919,-74.05760602113186,L6,L6,L6,L6,4216.013943165919,-74.05760602113186
Cell_30,260,569.0051671412,-78.53595908467784,HPC,HPC,HPC,HPC,569.0051671412,-78.53595908467784
Cell_31,243,2851.3394525758704,-89.30364673778219,CC,CC,CC,CC,2851.3394525758704,-89.30364673778219
Cell_33,346,1324.5454385139901,-97.24617916764635,CC,CC,CC,CC,1324.5454385139901,-97.24617916764635
Cell_34,445,3272.789499036609,-134.01750160565192,L6,L6,L6,L6,3272.789499036609,-134.01750160565192
Cell_35,477,9137.065470020189,-125.94064051503081,L4,L4,L4,L4,9137.065470020189,-125.94064051503081
Cell_36,308,9265.449904807234,-122.75309376487387,L4,L4,L4,L4,9265.449904807234,-122.75309376487387
Cell_37,331,3603.864777989649,-138.48084990465813,L6,L6,L6,L6,3603.864777989649,-138.48084990465813
Cell_38,417,9856.904745430433,-126.79167387418556,L2/3,L2/3,L2/3,L2/3,9856.904745430433,-126.79167387418556
Cell_40,419,9993.975459803054,-133.46355442088262,L2/3,L2/3,L2/3,L2/3,9993.975459803054,-133.46355442088262
Cell_41,413,11006.365663322185,-135.47829931188252,L2/3,L2/3,L2/3,L2/3,11006.365663322185,-135.47829931188252
Cell_42,299,11766.123323096816,-133.09269435914013,L2/3,L2/3,L2/3,L2/3,11766.123323096816,-133.09269435914013
Cell_43,517,4510.078200147984,-143.75221975582687,L6,L6,L6,L6,4510.078200147984,-143.75221975582687
Cell_44,322,12922.530949105912,-127.16596127393926,L1,L1,L1,L1,12922.530949105912,-127.16596127393926
Cell_45,555,13714.760391198044,-154.93925470027818,L1,L1,L1,L1,13714.760391198044,-154.93925470027818
Cell_47,375,9423.857943349753,-159.9070197044335,L4,L4,L4,L4,9423.857943349753,-159.9070197044335
Cell_48,281,2553.5340472267985,-168.39476935749587,CC,CC,CC,CC,2553.5340472267985,-168.39476935749587
Cell_49,374,6873.3405355916675,-157.09036392767226,L5,L5,L5,L5,6873.3405355916675,-157.09036392767226
Cell_50,541,7081.700869066164,-173.70480446011314,L5,L5,L5,L5,7081.700869066164,-173.70480446011314
Cell_51,319,5523.493848136865,-177.94879306304196,L5,L5,L5,L5,5523.493848136865,-177.94879306304196
Cell_52,544,4053.37271828073,-166.74453736174806,L6,L6,L6,L6,4053.37271828073,-166.74453736174806
Cell_53,490,6314.988253319714,-157.1312199036918,L5,L5,L5,L5,6314.988253319714,-157.1312199036918
Cell_54,371,1033.0219326128417,-159.98455181182453,HPC,HPC,HPC,HPC,1033.0219326128417,-159.98455181182453
Cell_55,293,2246.444957460054,-187.9717783772567,CC,CC,CC,CC,2246.444957460054,-187.9717783772567
Cell_56,240,2811.9539800995026,-173.63814262023217,CC,CC,CC,CC,2811.9539800995026,-173.63814262023217
Cell_57,856,11304.52256939036,-170.8976355876764,L2/3,L2/3,L2/3,L2/3,11304.52256939036,-170.8976355876764
Cell_60,603,8723.938967838445,-197.695188232361,L4,L4,L4,L4,8723.938967838445,-197.695188232361
Cell_61,306,10627.521561338292,-188.58451053283767,L2/3,L2/3,L2/3,L2/3,10627.521561338292,-188.58451053283767
Cell_62,699,11822.7615325532,-214.45484118736732,L2/3,L2/3,L2/3,L2/3,11822.7615325532,-214.45484118736732
Cell_63,277,934.0705424649491,-184.90604125376203,HPC,HPC,HPC,HPC,934.0705424649491,-184.90604125376203
Cell_64,593,10469.804669122545,-224.0120278727087,L2/3,L2/3,L2/3,L2/3,10469.804669122545,-224.0120278727087
Cell_65,478,5405.77069525377,-217.97807037053508,L5,L5,L5,L5,5405.77069525377,-217.97807037053508
Cell_67,292,12753.131171506411,-253.0161472523091,L1,L1,L1,L1,12753.131171506411,-253.0161472523091
Cell_68,349,1346.5820117314795,-255.12280034759942,CC,CC,CC,CC,1346.5820117314795,-255.12280034759942
Cell_69,237,2669.91797211224,-235.11766224823552,CC,CC,CC,CC,2669.91797211224,-235.11766224823552
Cell_70,408,6022.428537635426,-239.60476888867862,L5,L5,L5,L5,6022.428537635426,-239.60476888867862
Cell_71,371,8838.501323537355,-247.52298633245098,L4,L4,L4,L4,8838.501323537355,-247.52298633245098
Cell_72,305,2801.523310572169,-282.032728985166,CC,CC,CC,CC,2801.523310572169,-282.032728985166
Cell_74,351,3288.2227020357805,-253.98379227188602,L6,L6,L6,L6,3288.2227020357805,-253.98379227188602
Cell_76,277,1020.5396060352052,-297.10435875942994,HPC,HPC,HPC,HPC,1020.5396060352052,-297.10435875942994
Cell_77,618,9739.765544601125,-258.26415020228603,L2/3,L2/3,L2/3,L2/3,9739.765544601125,-258.26415020228603
Cell_78,798,10631.29537489891,-305.8981014364385,L2/3,L2/3,L2/3,L2/3,10631.29537489891,-305.8981014364385
Cell_79,567,3603.870642280611,-289.74506268246614,L6,L6,L6,L6,3603.870642280611,-289.74506268246614
Cell_80,250,6890.985098709189,-292.28753796507215,L5,L5,L5,L5,6890.985098709189,-292.28753796507215
Cell_81,930,12261.389775603171,-307.4996456892188,L1,L1,L1,L1,12261.389775603171,-307.4996456892188
Cell_82,333,907.5889338731444,-326.16010796221315,HPC,HPC,HPC,HPC,907.5889338731444,-326.16010796221315
Cell_85,662,7611.680854533593,-311.77279028049577,L4,L4,L4,L4,7611.680854533593,-311.77279028049577
Cell_86,302,1540.9478713179171,-312.2009950811331,CC,CC,CC,CC,1540.9478713179171,-312.2009950811331
Cell_87,478,221.481114078596,-311.75810759252187,HPC,HPC,HPC,HPC,221.481114078596,-311.75810759252187
Cell_88,417,10343.778746367789,-323.97421705640886,L2/3,L2/3,L2/3,L2/3,10343.778746367789,-323.97421705640886
Cell_89,226,2668.301729905381,-324.6981745197362,CC,CC,CC,CC,2668.301729905381,-324.6981745197362
Cell_90,603,13298.490532804932,-341.42092323499185,L1,L1,L1,L1,13298.490532804932,-341.42092323499185
Cell_92,271,4919.2073907787935,-341.8150002878029,L6,L6,L6,L6,4919.2073907787935,-341.8150002878029
Cell_93,761,8243.81430278756,-347.4145159727381,L4,L4,L4,L4,8243.81430278756,-347.4145159727381
Cell_94,732,8525.112070605242,-350.19606649674745,L4,L4,L4,L4,8525.112070605242,-350.19606649674745
Cell_95,674,4367.885552096685,-362.9529848013185,L6,L6,L6,L6,4367.885552096685,-362.9529848013185
Cell_96,446,9874.984245630174,-354.5161568537259,L2/3,L2/3,L2/3,L2/3,9874.984245630174,-354.5161568537259
Cell_97,318,4236.00553303738,-373.7048832271762,L6,L6,L6,L6,4236.00553303738,-373.7048832271762
Cell_99,202,4009.928921568628,-356.9109477124183,L6,L6,L6,L6,4009.928921568628,-356.9109477124183
Cell_100,541,8916.875944641719,-364.5000910498042,L4,L4,L4,L4,8916.875944641719,-364.5000910498042
Cell_101,434,3486.9976223499107,-377.9730037646127,L6,L6,L6,L6,3486.9976223499107,-377.9730037646127
Cell_102,205,1196.0749902152645,-356.881252446184,HPC,HPC,HPC,HPC,1196.0749902152645,-356.881252446184
Cell_103,897,11586.146847890765,-398.0127775515956,L2/3,L2/3,L2/3,L2/3,11586.146847890765,-398.0127775515956
Cell_104,272,113.55008371341148,-393.3266555048785,HPC,HPC,HPC,HPC,113.55008371341148,-393.3266555048785
Cell_105,726,11266.302676317118,-366.4395556303652,L2/3,L2/3,L2/3,L2/3,11266.302676317118,-366.4395556303652
Cell_106,787,9341.235639880952,-364.4475446428572,L4,L4,L4,L4,9341.235639880952,-364.4475446428572
