"","x","y","c","z"
"1",4980.77766400437,-49.7712471841081,0,0
"2",8729.17742496234,-53.4731139181829,0,0
"3",11547.5663592033,-46.3154926267552,8,1
"4",3280.98026374809,-37.6128106216919,0,0
"5",7582.7936012936,-45.3503118503119,0,0
"6",4691.68364091336,-50.1370034407257,0,0
"7",12817.1438092502,-48.9578282102844,8,1
"8",3426.17491573532,-91.8814972503104,0,0
"9",5157.43532364691,-84.1451196662778,0,0
"10",1480.03906415414,-61.3103959347872,4,4
"11",9461.6039444092,-55.560521307883,0,0
"12",12633.1580395099,-58.7537717762774,8,1
"13",10688.0792073018,-73.6059639909978,8,1
"14",12065.7230404305,-73.387523897189,8,1
"15",13121.7103054117,-81.6681550276835,8,1
"16",4216.01394316592,-74.0576060211319,0,0
"17",569.0051671412,-78.5359590846778,3,0
"18",2851.33945257587,-89.3036467377822,1,4
"19",1324.54543851399,-97.2461791676463,13,4
"20",3272.78949903661,-134.017501605652,0,0
"21",9137.06547002019,-125.940640515031,0,0
"22",9265.44990480723,-122.753093764874,0,0
"23",3603.86477798965,-138.480849904658,0,0
"24",9856.90474543043,-126.791673874186,0,0
"25",9993.97545980305,-133.463554420883,0,0
"26",11006.3656633222,-135.478299311883,3,1
"27",11766.1233230968,-133.09269435914,7,1
"28",4510.07820014798,-143.752219755827,0,0
"29",12922.5309491059,-127.165961273939,0,1
"30",13714.760391198,-154.939254700278,12,6
"31",9423.85794334975,-159.907019704434,0,0
"32",2553.5340472268,-168.394769357496,13,4
"33",6873.34053559167,-157.090363927672,0,0
"34",7081.70086906616,-173.704804460113,0,0
"35",5523.49384813687,-177.948793063042,1,0
"36",4053.37271828073,-166.744537361748,0,0
"37",6314.98825331971,-157.131219903692,0,0
"38",1033.02193261284,-159.984551811825,0,0
"39",2246.44495746005,-187.971778377257,1,4
"40",2811.9539800995,-173.638142620232,1,4
"41",11304.5225693904,-170.897635587676,8,1
"42",8723.93896783845,-197.695188232361,0,0
"43",10627.5215613383,-188.584510532838,4,1
"44",11822.7615325532,-214.454841187367,8,1
"45",934.070542464949,-184.906041253762,3,0
"46",10469.8046691225,-224.012027872709,8,1
"47",5405.77069525377,-217.978070370535,0,0
"48",12753.1311715064,-253.016147252309,8,1
"49",1346.58201173148,-255.122800347599,13,4
"50",2669.91797211224,-235.117662248236,1,4
"51",6022.42853763543,-239.604768888679,0,0
"52",8838.50132353736,-247.522986332451,0,0
"53",2801.52331057217,-282.032728985166,1,4
"54",3288.22270203578,-253.983792271886,0,0
"55",1020.53960603521,-297.10435875943,0,0
"56",9739.76554460112,-258.264150202286,0,0
"57",10631.2953748989,-305.898101436438,8,1
"58",3603.87064228061,-289.745062682466,0,0
"59",6890.98509870919,-292.287537965072,5,0
"60",12261.3897756032,-307.499645689219,8,1
"61",907.588933873144,-326.160107962213,4,0
"62",7611.68085453359,-311.772790280496,0,0
"63",1540.94787131792,-312.200995081133,1,4
"64",221.481114078596,-311.758107592522,0,0
"65",10343.7787463678,-323.974217056409,8,1
"66",2668.30172990538,-324.698174519736,1,4
"67",13298.4905328049,-341.420923234992,7,6
"68",4919.20739077879,-341.815000287803,1,0
"69",8243.81430278756,-347.414515972738,0,0
"70",8525.11207060524,-350.196066496747,0,0
"71",4367.88555209669,-362.952984801319,0,0
"72",9874.98424563017,-354.516156853726,0,0
