	logFC	logCPM	LR	PValue	FDR	sig	onlyFDR
Ttr	6.18718380318708	14.758936339949	3512.75859315623	0	0	up	Sig
Enpp2	1.98343192418549	14.4858858864618	141.330489217688	1.36231012281122e-32	9.5089246572223e-29	up	Sig
Igfbp2	1.12946367303628	14.4697337346308	92.8980440662572	5.50588905391674e-22	2.56207370642259e-18	up	Sig
Ptgds	1.73148382152117	14.6526278761233	82.4432153947264	1.08749926059515e-19	3.79537241947709e-16	up	Sig
Folr1	0.613833784774105	14.4665328900966	70.3112964895915	5.06468373629675e-17	1.41405969917405e-13	none	Sig
1500015O10Rik	0.859191776383332	14.4690053493833	68.2548153889329	1.43675758796399e-16	3.34285598799621e-13	none	Sig
Kcnj13	0.412661159151007	14.4660468898525	50.2660734140959	1.34250571886278e-12	2.67733997647492e-09	none	Sig
Rbp1	0.551716983192842	14.4689797790743	33.6205292138545	6.69820504718806e-09	1.16883678073432e-05	none	Sig
Kcne2	0.261140747920329	14.4657330315231	31.7316480563416	1.77014025277031e-08	2.74568421429707e-05	none	Sig
Snap25	-1.05402399055998	14.7963496447551	29.4716661138882	5.67401693593608e-08	7.92092764256677e-05	down	Sig
Calm2	-1.02532695505112	14.7938604265959	28.1018989393206	1.15092875498436e-07	0.000146063321996198	down	Sig
F5	0.212139031089249	14.4656538633255	26.0989389465596	3.24362214899386e-07	0.000377341376666286	none	Sig
Malat1	-0.903752139149848	15.2123138075116	24.0616029541407	9.33023410837022e-07	0.00100192360117576	none	Sig
Gabra6	-0.647515040674579	14.5126140070562	22.4043755416083	2.20870252522128e-06	0.00220239194657779	none	Sig
Calml4	0.415789214309554	14.4675662923116	21.3079593254911	3.9110424234805e-06	0.00363987681545252	none	Sig
