"","x","y","c","z"
"1",2946.23265306122,1139.74693877551,1,1
"2",4971.02083333333,1431.45833333333,1,1
"3",1464.78666666667,1708.52,0,1
"4",2824.91954022989,2091.64750957854,1,1
"5",5805.21428571429,2871.60714285714,0,1
"6",1845.43362831858,4207.93805309734,0,0
"7",4161.04347826087,2237.49565217391,0,3
"8",5171.8389261745,4506.51677852349,1,1
"9",4482.4966442953,3481.45637583893,0,0
"10",3563.78873239437,657.760563380282,0,3
"11",2613.93119266055,2342.3119266055,0,0
"12",2306.04575163399,2095.29411764706,1,1
"13",1412.84328358209,1526.0671641791,1,1
"14",5215.8875739645,2647.63313609467,1,1
"15",5354.95454545455,1445.21022727273,1,1
"16",4660.71497584541,2224.68599033816,0,0
"17",3690.9375,3850.71875,0,0
"18",1815.04117647059,1400.34705882353,0,2
"19",3516.85321100917,808.623853211009,0,3
"20",3816.85496183206,4507.87022900763,1,1
"21",2352.5253164557,2543.04430379747,1,1
"22",5590.35087719298,1775.94736842105,1,1
"23",4664.73831775701,1590.16822429907,1,1
"24",4509.87022900763,4022.34351145038,1,1
"25",2763.79856115108,1424.71942446043,0,1
"26",4667.60305343511,1775.39694656489,1,1
"27",2851.50980392157,1288.52941176471,1,1
"28",2896.82589285714,1143.51785714286,1,1
"29",5091.30158730159,2833.31746031746,0,2
"30",1357.52336448598,1899.02803738318,1,1
"31",5215.27835051546,1389.58762886598,1,1
"32",5739.52941176471,3469.91176470588,1,1
"33",2826.968,1871.248,2,1
"34",1557.57021276596,2570.73191489362,1,1
"35",3730.17307692308,4640.07692307692,1,1
"36",2913.1811023622,3454.1968503937,0,0
"37",3938.83098591549,4421.37676056338,0,0
"38",5490.992,3624.46,0,1
"39",2628.07692307692,4126.45054945055,0,0
"40",5768.28455284553,2845.63414634146,1,1
"41",4097.7619047619,2151.34693877551,1,1
"42",3015.96323529412,3478.32352941176,0,0
"43",4605.85217391304,879.452173913043,1,1
"44",4580.78695652174,2796.7652173913,0,2
"45",1713.72164948454,2685.83505154639,1,1
"46",4438.90291262136,2325.04854368932,0,2
"47",4031.27329192547,4508.42857142857,1,1
"48",1748.2125,4163.4125,0,2
"49",2715.575,2579.55,0,3
"50",5320.01298701299,4180.33116883117,1,1
"51",3302.40186915888,3140.84112149533,0,0
"52",2787.26486486486,1126.23783783784,1,1
"53",2266.61194029851,1278.17164179104,0,2
"54",4945.50943396226,3358.91194968553,0,0
"55",5895.91891891892,3362.31756756757,1,1
"56",3975.05825242718,3714.16019417476,0,0
"57",1720.73529411765,1522.20588235294,1,1
"58",3706.05699481865,3726.26424870466,0,0
"59",1369.98026315789,2025.53947368421,0,3
"60",4491.10169491525,4116.35169491525,0,0
"61",3627.24761904762,1832.41904761905,0,2
"62",4340.34375,3480.50625,1,1
"63",4331.89705882353,3798.11029411765,1,1
"64",4893.44230769231,1375.75,1,1
"65",3208.70085470085,4267.82905982906,0,0
"66",3566.51824817518,3026.56204379562,0,0
"67",5133.49132947977,3849.47398843931,0,0
"68",4782.94736842105,3099.30827067669,0,0
"69",4947.12543554007,3410.70383275261,0,0
"70",4910.1052631579,3140.67368421053,0,0
"71",3891.44933920705,803.625550660793,0,3
"72",5054.41007194245,2620.36690647482,0,2
"73",5126.34586466165,3037.15037593985,0,0
"74",2782.86813186813,4350.76373626374,0,0
"75",4740.2,2372.70769230769,0,0
"76",4293.765625,2136.5234375,1,1
"77",4335.6690647482,3980.27338129496,0,0
"78",4419.99242424242,3421.61363636364,0,0
"79",3058.86170212766,2629.04787234043,0,2
"80",2415.875,3116.35833333333,1,1
"81",3079.25592417062,1929.39336492891,1,1
"82",4082.38043478261,4036.64673913044,0,0
"83",5145.11428571429,4313.7,1,1
"84",4783.46987951807,1889.69879518072,0,0
"85",4307.49504950495,3888.90099009901,0,1
"86",4721.66494845361,2433.96907216495,0,2
"87",4502.25,3179.78985507246,0,2
"88",4845.65306122449,1603.53741496599,1,1
"89",2039.84745762712,4263.93220338983,0,0
"90",3387.09574468085,3450.59574468085,0,0
"91",3451.90849673203,1243.18300653595,0,3
"92",4838.61111111111,1220.53888888889,1,1
"93",3551.23463687151,3864.03351955307,0,0
"94",3690.06451612903,1340.87903225806,1,1
"95",4162,4570.8021978022,1,1
"96",2741.32065217391,3593.60326086957,0,0
"97",3209.14545454545,2132.06363636364,1,1
"98",4197.70238095238,2017.65476190476,1,1
"99",5199.01877934272,1510.30046948357,0,0
"100",4304.83333333333,1446.80158730159,1,1
"101",4723.77777777778,768.243386243386,1,1
"102",4937.38620689655,3964.53793103448,0,0
"103",2546.55555555556,4424.28571428571,1,1
"104",4738.27619047619,1985.51428571429,0,0
"105",3215.05,2466.9,0,3
